DEPTH,NPHI,RHOB,SGR(=GR),COREFACIES,PHIH,PHIV,MARKERS,PHIE,SWE,VSH,POTA,LOGKH,LOGKV
3371.8,0.427,2.336,98.75,0.0,,,,3.62,0.945,0.879,0.295,,
3372.0,0.43,2.231,98.879,0.0,,,,8.45,0.816,0.718,0.297,,
3372.2,0.43,2.21,99.241,0.0,,,,9.43,0.811,0.686,0.299,,
3372.4,0.426,2.246,99.604,0.0,,,,8.12,0.845,0.729,0.299,,
3372.6,0.4,2.289,98.517,0.0,,,,8.53,0.837,0.716,0.298,,
3372.8,0.355,2.342,97.431,0.0,,,,9.81,0.784,0.673,0.298,,
3373.0,0.271,2.423,87.246,0.0,,,,11.2,0.775,0.548,0.255,,
3373.2,0.268,2.481,71.037,0.0,12.4,10.3,,7.71,0.852,0.626,0.221,,0.117
3373.4,0.271,2.539,54.355,0.0,,,,4.53,0.917,0.706,0.179,,
3373.6,0.258,2.602,38.027,0.0,,,,1.03,1.0,0.757,0.136,,
3373.8,0.226,2.617,32.361,0.0,,,,0.41,1.0,0.682,0.118,,
3374.0,0.199,2.629,29.896,0.0,,,,0.35,1.0,0.593,0.1,,
3374.2,0.151,2.604,27.432,0.0,0.6,,,1.41,1.0,0.442,0.081,,
3374.4,0.12,2.556,27.827,0.0,,,,4.02,1.0,0.31,0.062,,
3374.6,0.118,2.494,28.221,0.0,,,,7.99,0.922,0.204,0.073,,
3374.7,,,,,11.3,,,,,,,1.843,
3374.8,0.141,2.466,36.568,0.0,,,,9.59,0.747,0.228,0.085,,
3375.0,0.204,2.474,49.143,0.0,,,,8.6,0.618,0.425,0.114,,
3375.2,0.303,2.48,63.48,0.0,6.9,10.6,,0.0,1.0,0.484,0.144,-1.155,-1.046
3375.4,0.408,2.419,74.304,0.0,,,,0.0,1.0,0.497,0.173,,
3375.6,0.437,2.26,82.873,0.0,,,,0.0,1.0,0.536,0.192,,
3375.8,0.402,2.075,89.83,0.0,,,,0.0,1.0,0.377,0.211,,
3376.0,0.301,2.069,90.336,0.0,,,,0.0,1.0,0.074,0.201,,
3376.2,0.266,2.199,81.7,0.0,,,,0.0,1.0,0.164,0.192,,
3376.4,0.23,2.34,68.615,0.0,,,,0.0,1.0,0.295,0.179,,
